timestamp,average_skill
"2017-04-01 00:00:00",3381.1131498470948012
"2017-05-01 00:00:00",3380.0641466208476518
"2017-06-01 00:00:00",3380.4197983501374885
"2017-07-01 00:00:00",3383.4969230769230769
"2017-08-01 00:00:00",3388.0104712041884817
"2017-09-01 00:00:00",3389.7145308924485126
"2017-10-01 00:00:00",3386.1289840637450199
"2017-11-01 00:00:00",3388.8712389380530973
"2017-12-01 00:00:00",3389.3801751592356688
"2018-01-01 00:00:00",3392.5066811123149151
"2018-02-01 00:00:00",3395.1016273663234806
"2018-03-01 00:00:00",3397.0097979179424372
"2018-04-01 00:00:00",3397.1547619047619048
"2018-05-01 00:00:00",3398.4546174142480211
"2018-06-01 00:00:00",3400.1495442227149544
"2018-07-01 00:00:00",3401.0597084008331405
"2018-08-01 00:00:00",3402.1450131233595801
"2018-09-01 00:00:00",3402.6816301199834506
"2018-10-01 00:00:00",3403.1061496278887583
"2018-11-01 00:00:00",3403.4401851851851852
"2018-12-01 00:00:00",3404.1326746647847565
"2019-01-01 00:00:00",3404.6837951301427372
"2019-02-01 00:00:00",3404.6149048456740764
"2019-03-01 00:00:00",3403.6752254317591319
"2019-04-01 00:00:00",3403.8356204810388077
